scenario,label,date_start,date_stop,account_id,campaign_id,campaign_name,objective,adset_id,adset_name,ad_id,ad_name,spend,impressions,reach,clicks,ctr,cpc,cpm,frequency,conversions,revenue,actions_json,cost_per_action_type_json,purchase_roas_json
good_signal,Good signal / opportunity,2026-06-09,2026-06-09,act_9876543210,23861234567890123,Kairo Skincare | Prospecting | Purchases,OUTCOME_SALES,adset_good_2,Lookalike Purchasers 2%,ad_good_2,Static Before After - Clean Skin,1441.50,50560,38905,842,1.6646,1.7128,28.5107,1.2996,26.0,54560.78,"[{""action_type"": ""purchase"", ""value"": ""26""}]","[{""action_type"": ""purchase"", ""value"": ""55.44""}]","[{""action_type"": ""purchase"", ""value"": ""37.85""}]"
good_signal,Good signal / opportunity,2026-06-09,2026-06-09,act_9876543210,23861234567890123,Kairo Skincare | Prospecting | Purchases,OUTCOME_SALES,adset_good_3,Interest Stack | Beauty Buyers,ad_good_3,Creator Demo - 15 sec,1255.50,45820,36395,815,1.7794,1.5399,27.4007,1.2590,24.0,54564.03,"[{""action_type"": ""purchase"", ""value"": ""24""}]","[{""action_type"": ""purchase"", ""value"": ""52.31""}]","[{""action_type"": ""purchase"", ""value"": ""43.46""}]"
good_signal,Good signal / opportunity,2026-06-10,2026-06-10,act_9876543210,23861234567890123,Kairo Skincare | Prospecting | Purchases,OUTCOME_SALES,adset_good_1,Broad Women 22-40,ad_good_1,UGC Hook - Morning Routine,2016.00,62400,50800,999,1.6010,2.0180,32.3077,1.2283,31.0,68544.0,"[{""action_type"": ""purchase"", ""value"": ""31""}]","[{""action_type"": ""purchase"", ""value"": ""65.03""}]","[{""action_type"": ""purchase"", ""value"": ""34.0""}]"
good_signal,Good signal / opportunity,2026-06-10,2026-06-10,act_9876543210,23861234567890123,Kairo Skincare | Prospecting | Purchases,OUTCOME_SALES,adset_good_2,Lookalike Purchasers 2%,ad_good_2,Static Before After - Clean Skin,1488.00,51200,39370,864,1.6875,1.7222,29.0625,1.3005,26.0,55919.04,"[{""action_type"": ""purchase"", ""value"": ""26""}]","[{""action_type"": ""purchase"", ""value"": ""57.23""}]","[{""action_type"": ""purchase"", ""value"": ""37.58""}]"
good_signal,Good signal / opportunity,2026-06-10,2026-06-10,act_9876543210,23861234567890123,Kairo Skincare | Prospecting | Purchases,OUTCOME_SALES,adset_good_3,Interest Stack | Beauty Buyers,ad_good_3,Creator Demo - 15 sec,1296.00,46400,36830,837,1.8039,1.5484,27.9310,1.2598,25.0,55922.4,"[{""action_type"": ""purchase"", ""value"": ""25""}]","[{""action_type"": ""purchase"", ""value"": ""51.84""}]","[{""action_type"": ""purchase"", ""value"": ""43.15""}]"
good_signal,Good signal / opportunity,2026-06-11,2026-06-11,act_9876543210,23861234567890123,Kairo Skincare | Prospecting | Purchases,OUTCOME_SALES,adset_good_1,Broad Women 22-40,ad_good_1,UGC Hook - Morning Routine,1876.80,58560,47850,1035,1.7681,1.8126,32.0492,1.2238,34.0,73701.94,"[{""action_type"": ""purchase"", ""value"": ""34""}]","[{""action_type"": ""purchase"", ""value"": ""55.2""}]","[{""action_type"": ""purchase"", ""value"": ""39.27""}]"
good_signal,Good signal / opportunity,2026-06-11,2026-06-11,act_9876543210,23861234567890123,Kairo Skincare | Prospecting | Purchases,OUTCOME_SALES,adset_good_2,Lookalike Purchasers 2%,ad_good_2,Static Before After - Clean Skin,1545.60,53070,40600,969,1.8251,1.5957,29.1238,1.3071,31.0,71066.69,"[{""action_type"": ""purchase"", ""value"": ""31""}]","[{""action_type"": ""purchase"", ""value"": ""49.86""}]","[{""action_type"": ""purchase"", ""value"": ""45.98""}]"
good_signal,Good signal / opportunity,2026-06-11,2026-06-11,act_9876543210,23861234567890123,Kairo Skincare | Prospecting | Purchases,OUTCOME_SALES,adset_good_3,Interest Stack | Beauty Buyers,ad_good_3,Creator Demo - 15 sec,2097.60,71370,56550,1336,1.8719,1.5701,29.3905,1.2621,47.0,118430.5,"[{""action_type"": ""purchase"", ""value"": ""47""}]","[{""action_type"": ""purchase"", ""value"": ""44.63""}]","[{""action_type"": ""purchase"", ""value"": ""56.46""}]"
moderate_signal,Moderate signal / review today,2026-06-06,2026-06-06,act_9876543210,23861234567890234,NovaFit Gym | Lead Gen | Trial Pass,OUTCOME_LEADS,adset_mod_1,Local Radius 5km | 18-35,ad_mod_1,Offer Static - 7 Day Pass,630.00,27880,24500,451,1.6194,1.3953,22.5968,1.1380,15.0,0,"[{""action_type"": ""lead"", ""value"": ""15""}]","[{""action_type"": ""lead"", ""value"": ""42.0""}]",[]
moderate_signal,Moderate signal / review today,2026-06-06,2026-06-06,act_9876543210,23861234567890234,NovaFit Gym | Lead Gen | Trial Pass,OUTCOME_LEADS,adset_mod_2,Fitness Interests | 21-45,ad_mod_2,Trainer Reel - Weight Loss,666.00,31160,25900,464,1.4904,1.4341,21.3736,1.2031,17.0,0,"[{""action_type"": ""lead"", ""value"": ""17""}]","[{""action_type"": ""lead"", ""value"": ""39.18""}]",[]
moderate_signal,Moderate signal / review today,2026-06-06,2026-06-06,act_9876543210,23861234567890234,NovaFit Gym | Lead Gen | Trial Pass,OUTCOME_LEADS,adset_mod_3,Lookalike Leads 1%,ad_mod_3,Carousel - Gym Tour,504.00,22960,19600,374,1.6294,1.3472,21.9512,1.1714,12.0,0,"[{""action_type"": ""lead"", ""value"": ""12""}]","[{""action_type"": ""lead"", ""value"": ""42.0""}]",[]
moderate_signal,Moderate signal / review today,2026-06-07,2026-06-07,act_9876543210,23861234567890234,NovaFit Gym | Lead Gen | Trial Pass,OUTCOME_LEADS,adset_mod_1,Local Radius 5km | 18-35,ad_mod_1,Offer Static - 7 Day Pass,647.50,28560,25025,469,1.6422,1.3806,22.6716,1.1413,16.0,0,"[{""action_type"": ""lead"", ""value"": ""16""}]","[{""action_type"": ""lead"", ""value"": ""40.47""}]",[]
moderate_signal,Moderate signal / review today,2026-06-07,2026-06-07,act_9876543210,23861234567890234,NovaFit Gym | Lead Gen | Trial Pass,OUTCOME_LEADS,adset_mod_2,Fitness Interests | 21-45,ad_mod_2,Trainer Reel - Weight Loss,684.50,31920,26455,482,1.5113,1.4189,21.4442,1.2066,17.0,0,"[{""action_type"": ""lead"", ""value"": ""17""}]","[{""action_type"": ""lead"", ""value"": ""40.26""}]",[]
moderate_signal,Moderate signal / review today,2026-06-07,2026-06-07,act_9876543210,23861234567890234,NovaFit Gym | Lead Gen | Trial Pass,OUTCOME_LEADS,adset_mod_3,Lookalike Leads 1%,ad_mod_3,Carousel - Gym Tour,518.00,23520,20020,389,1.6522,1.3330,22.0238,1.1748,13.0,0,"[{""action_type"": ""lead"", ""value"": ""13""}]","[{""action_type"": ""lead"", ""value"": ""39.85""}]",[]
moderate_signal,Moderate signal / review today,2026-06-08,2026-06-08,act_9876543210,23861234567890234,NovaFit Gym | Lead Gen | Trial Pass,OUTCOME_LEADS,adset_mod_1,Local Radius 5km | 18-35,ad_mod_1,Offer Static - 7 Day Pass,665.00,28900,25200,474,1.6410,1.4022,23.0104,1.1468,15.0,0,"[{""action_type"": ""lead"", ""value"": ""15""}]","[{""action_type"": ""lead"", ""value"": ""44.33""}]",[]
moderate_signal,Moderate signal / review today,2026-06-08,2026-06-08,act_9876543210,23861234567890234,NovaFit Gym | Lead Gen | Trial Pass,OUTCOME_LEADS,adset_mod_2,Fitness Interests | 21-45,ad_mod_2,Trainer Reel - Weight Loss,703.00,32300,26640,488,1.5102,1.4412,21.7647,1.2125,17.0,0,"[{""action_type"": ""lead"", ""value"": ""17""}]","[{""action_type"": ""lead"", ""value"": ""41.35""}]",[]
moderate_signal,Moderate signal / review today,2026-06-08,2026-06-08,act_9876543210,23861234567890234,NovaFit Gym | Lead Gen | Trial Pass,OUTCOME_LEADS,adset_mod_3,Lookalike Leads 1%,ad_mod_3,Carousel - Gym Tour,532.00,23800,20160,393,1.6511,1.3539,22.3529,1.1806,13.0,0,"[{""action_type"": ""lead"", ""value"": ""13""}]","[{""action_type"": ""lead"", ""value"": ""40.92""}]",[]
moderate_signal,Moderate signal / review today,2026-06-09,2026-06-09,act_9876543210,23861234567890234,NovaFit Gym | Lead Gen | Trial Pass,OUTCOME_LEADS,adset_mod_1,Local Radius 5km | 18-35,ad_mod_1,Offer Static - 7 Day Pass,682.50,29580,25725,486,1.6447,1.4029,23.0730,1.1499,16.0,0,"[{""action_type"": ""lead"", ""value"": ""16""}]","[{""action_type"": ""lead"", ""value"": ""42.66""}]",[]
moderate_signal,Moderate signal / review today,2026-06-09,2026-06-09,act_9876543210,23861234567890234,NovaFit Gym | Lead Gen | Trial Pass,OUTCOME_LEADS,adset_mod_2,Fitness Interests | 21-45,ad_mod_2,Trainer Reel - Weight Loss,721.50,33060,27195,500,1.5136,1.4418,21.8240,1.2157,18.0,0,"[{""action_type"": ""lead"", ""value"": ""18""}]","[{""action_type"": ""lead"", ""value"": ""40.08""}]",[]
moderate_signal,Moderate signal / review today,2026-06-09,2026-06-09,act_9876543210,23861234567890234,NovaFit Gym | Lead Gen | Trial Pass,OUTCOME_LEADS,adset_mod_3,Lookalike Leads 1%,ad_mod_3,Carousel - Gym Tour,546.00,24360,20580,403,1.6548,1.3545,22.4138,1.1837,13.0,0,"[{""action_type"": ""lead"", ""value"": ""13""}]","[{""action_type"": ""lead"", ""value"": ""42.0""}]",[]
moderate_signal,Moderate signal / review today,2026-06-10,2026-06-10,act_9876543210,23861234567890234,NovaFit Gym | Lead Gen | Trial Pass,OUTCOME_LEADS,adset_mod_1,Local Radius 5km | 18-35,ad_mod_1,Offer Static - 7 Day Pass,700.00,30600,26600,504,1.6471,1.3889,22.8758,1.1504,16.0,0,"[{""action_type"": ""lead"", ""value"": ""16""}]","[{""action_type"": ""lead"", ""value"": ""43.75""}]",[]
moderate_signal,Moderate signal / review today,2026-06-10,2026-06-10,act_9876543210,23861234567890234,NovaFit Gym | Lead Gen | Trial Pass,OUTCOME_LEADS,adset_mod_2,Fitness Interests | 21-45,ad_mod_2,Trainer Reel - Weight Loss,740.00,34200,28120,518,1.5158,1.4275,21.6374,1.2162,18.0,0,"[{""action_type"": ""lead"", ""value"": ""18""}]","[{""action_type"": ""lead"", ""value"": ""41.11""}]",[]
moderate_signal,Moderate signal / review today,2026-06-10,2026-06-10,act_9876543210,23861234567890234,NovaFit Gym | Lead Gen | Trial Pass,OUTCOME_LEADS,adset_mod_3,Lookalike Leads 1%,ad_mod_3,Carousel - Gym Tour,560.00,25200,21280,418,1.6571,1.3410,22.2222,1.1842,13.0,0,"[{""action_type"": ""lead"", ""value"": ""13""}]","[{""action_type"": ""lead"", ""value"": ""43.08""}]",[]
moderate_signal,Moderate signal / review today,2026-06-11,2026-06-11,act_9876543210,23861234567890234,NovaFit Gym | Lead Gen | Trial Pass,OUTCOME_LEADS,adset_mod_1,Local Radius 5km | 18-35,ad_mod_1,Offer Static - 7 Day Pass,1024.80,30895,26122,450,1.4557,2.2786,33.1704,1.1827,15.0,0,"[{""action_type"": ""lead"", ""value"": ""15""}]","[{""action_type"": ""lead"", ""value"": ""68.32""}]",[]
moderate_signal,Moderate signal / review today,2026-06-11,2026-06-11,act_9876543210,23861234567890234,NovaFit Gym | Lead Gen | Trial Pass,OUTCOME_LEADS,adset_mod_2,Fitness Interests | 21-45,ad_mod_2,Trainer Reel - Weight Loss,878.40,31730,26828,475,1.4984,1.8475,27.6836,1.1827,17.0,0,"[{""action_type"": ""lead"", ""value"": ""17""}]","[{""action_type"": ""lead"", ""value"": ""51.67""}]",[]
moderate_signal,Moderate signal / review today,2026-06-11,2026-06-11,act_9876543210,23861234567890234,NovaFit Gym | Lead Gen | Trial Pass,OUTCOME_LEADS,adset_mod_3,Lookalike Leads 1%,ad_mod_3,Carousel - Gym Tour,536.80,20875,17650,360,1.7236,1.4919,25.7150,1.1827,12.0,0,"[{""action_type"": ""lead"", ""value"": ""12""}]","[{""action_type"": ""lead"", ""value"": ""44.73""}]",[]
very_bad_signal,Very bad signal / action needed,2026-06-06,2026-06-06,act_9876543210,23861234567890345,Dehalt Campaign 1 | Retargeting | Leads,OUTCOME_LEADS,adset_bad_1,Retargeting 30D | Engagers,ad_bad_1,UGC Testimonial - Old Hook,1281.00,50740,28980,963,1.8983,1.3299,25.2464,1.7509,26.0,0,"[{""action_type"": ""lead"", ""value"": ""26""}]","[{""action_type"": ""lead"", ""value"": ""49.27""}]",[]
very_bad_signal,Very bad signal / action needed,2026-06-06,2026-06-06,act_9876543210,23861234567890345,Dehalt Campaign 1 | Retargeting | Leads,OUTCOME_LEADS,adset_bad_2,Website Visitors 14D,ad_bad_2,Static Offer - Limited Slots,1067.50,40120,24150,784,1.9541,1.3616,26.6077,1.6613,22.0,0,"[{""action_type"": ""lead"", ""value"": ""22""}]","[{""action_type"": ""lead"", ""value"": ""48.52""}]",[]
very_bad_signal,Very bad signal / action needed,2026-06-06,2026-06-06,act_9876543210,23861234567890345,Dehalt Campaign 1 | Retargeting | Leads,OUTCOME_LEADS,adset_bad_3,Lookalike Leads 2%,ad_bad_3,Founder Video - Direct Pitch,701.50,27140,15870,493,1.8158,1.4235,25.8475,1.7101,14.0,0,"[{""action_type"": ""lead"", ""value"": ""14""}]","[{""action_type"": ""lead"", ""value"": ""50.11""}]",[]
very_bad_signal,Very bad signal / action needed,2026-06-07,2026-06-07,act_9876543210,23861234567890345,Dehalt Campaign 1 | Retargeting | Leads,OUTCOME_LEADS,adset_bad_1,Retargeting 30D | Engagers,ad_bad_1,UGC Testimonial - Old Hook,1310.40,51385,28770,976,1.8996,1.3425,25.5016,1.7861,26.0,0,"[{""action_type"": ""lead"", ""value"": ""26""}]","[{""action_type"": ""lead"", ""value"": ""50.4""}]",[]
very_bad_signal,Very bad signal / action needed,2026-06-07,2026-06-07,act_9876543210,23861234567890345,Dehalt Campaign 1 | Retargeting | Leads,OUTCOME_LEADS,adset_bad_2,Website Visitors 14D,ad_bad_2,Static Offer - Limited Slots,1092.00,40630,23975,794,1.9555,1.3744,26.8767,1.6947,22.0,0,"[{""action_type"": ""lead"", ""value"": ""22""}]","[{""action_type"": ""lead"", ""value"": ""49.64""}]",[]
very_bad_signal,Very bad signal / action needed,2026-06-07,2026-06-07,act_9876543210,23861234567890345,Dehalt Campaign 1 | Retargeting | Leads,OUTCOME_LEADS,adset_bad_3,Lookalike Leads 2%,ad_bad_3,Founder Video - Direct Pitch,717.60,27485,15755,499,1.8170,1.4369,26.1088,1.7445,13.0,0,"[{""action_type"": ""lead"", ""value"": ""13""}]","[{""action_type"": ""lead"", ""value"": ""55.2""}]",[]
very_bad_signal,Very bad signal / action needed,2026-06-08,2026-06-08,act_9876543210,23861234567890345,Dehalt Campaign 1 | Retargeting | Leads,OUTCOME_LEADS,adset_bad_1,Retargeting 30D | Engagers,ad_bad_1,UGC Testimonial - Old Hook,1335.60,51600,28560,980,1.9000,1.3623,25.8837,1.8067,25.0,0,"[{""action_type"": ""lead"", ""value"": ""25""}]","[{""action_type"": ""lead"", ""value"": ""53.42""}]",[]
very_bad_signal,Very bad signal / action needed,2026-06-08,2026-06-08,act_9876543210,23861234567890345,Dehalt Campaign 1 | Retargeting | Leads,OUTCOME_LEADS,adset_bad_2,Website Visitors 14D,ad_bad_2,Static Offer - Limited Slots,1113.00,40800,23800,798,1.9559,1.3947,27.2794,1.7143,22.0,0,"[{""action_type"": ""lead"", ""value"": ""22""}]","[{""action_type"": ""lead"", ""value"": ""50.59""}]",[]
very_bad_signal,Very bad signal / action needed,2026-06-08,2026-06-08,act_9876543210,23861234567890345,Dehalt Campaign 1 | Retargeting | Leads,OUTCOME_LEADS,adset_bad_3,Lookalike Leads 2%,ad_bad_3,Founder Video - Direct Pitch,731.40,27600,15640,502,1.8174,1.4581,26.5000,1.7647,13.0,0,"[{""action_type"": ""lead"", ""value"": ""13""}]","[{""action_type"": ""lead"", ""value"": ""56.26""}]",[]
very_bad_signal,Very bad signal / action needed,2026-06-09,2026-06-09,act_9876543210,23861234567890345,Dehalt Campaign 1 | Retargeting | Leads,OUTCOME_LEADS,adset_bad_1,Retargeting 30D | Engagers,ad_bad_1,UGC Testimonial - Old Hook,1369.20,52030,28224,993,1.9091,1.3784,26.3156,1.8435,26.0,0,"[{""action_type"": ""lead"", ""value"": ""26""}]","[{""action_type"": ""lead"", ""value"": ""52.66""}]",[]
very_bad_signal,Very bad signal / action needed,2026-06-09,2026-06-09,act_9876543210,23861234567890345,Dehalt Campaign 1 | Retargeting | Leads,OUTCOME_LEADS,adset_bad_2,Website Visitors 14D,ad_bad_2,Static Offer - Limited Slots,1141.00,41140,23520,808,1.9652,1.4113,27.7346,1.7491,22.0,0,"[{""action_type"": ""lead"", ""value"": ""22""}]","[{""action_type"": ""lead"", ""value"": ""51.86""}]",[]
very_bad_signal,Very bad signal / action needed,2026-06-09,2026-06-09,act_9876543210,23861234567890345,Dehalt Campaign 1 | Retargeting | Leads,OUTCOME_LEADS,adset_bad_3,Lookalike Leads 2%,ad_bad_3,Founder Video - Direct Pitch,749.80,27830,15456,508,1.8261,1.4754,26.9421,1.8006,13.0,0,"[{""action_type"": ""lead"", ""value"": ""13""}]","[{""action_type"": ""lead"", ""value"": ""57.68""}]",[]
very_bad_signal,Very bad signal / action needed,2026-06-10,2026-06-10,act_9876543210,23861234567890345,Dehalt Campaign 1 | Retargeting | Leads,OUTCOME_LEADS,adset_bad_1,Retargeting 30D | Engagers,ad_bad_1,UGC Testimonial - Old Hook,1428.00,52460,27300,998,1.9016,1.4314,27.2207,1.9216,24.0,0,"[{""action_type"": ""lead"", ""value"": ""24""}]","[{""action_type"": ""lead"", ""value"": ""59.5""}]",[]
very_bad_signal,Very bad signal / action needed,2026-06-10,2026-06-10,act_9876543210,23861234567890345,Dehalt Campaign 1 | Retargeting | Leads,OUTCOME_LEADS,adset_bad_2,Website Visitors 14D,ad_bad_2,Static Offer - Limited Slots,1190.00,41480,22750,812,1.9576,1.4655,28.6885,1.8233,21.0,0,"[{""action_type"": ""lead"", ""value"": ""21""}]","[{""action_type"": ""lead"", ""value"": ""56.67""}]",[]
very_bad_signal,Very bad signal / action needed,2026-06-10,2026-06-10,act_9876543210,23861234567890345,Dehalt Campaign 1 | Retargeting | Leads,OUTCOME_LEADS,adset_bad_3,Lookalike Leads 2%,ad_bad_3,Founder Video - Direct Pitch,782.00,28060,14950,510,1.8190,1.5321,27.8689,1.8769,13.0,0,"[{""action_type"": ""lead"", ""value"": ""13""}]","[{""action_type"": ""lead"", ""value"": ""60.15""}]",[]
very_bad_signal,Very bad signal / action needed,2026-06-11,2026-06-11,act_9876543210,23861234567890345,Dehalt Campaign 1 | Retargeting | Leads,OUTCOME_LEADS,adset_bad_1,Retargeting 30D | Engagers,ad_bad_1,UGC Testimonial - Old Hook,2046.00,61740,22770,452,0.7328,4.5225,33.1390,2.7115,6.0,0,"[{""action_type"": ""lead"", ""value"": ""6""}]","[{""action_type"": ""lead"", ""value"": ""341.0""}]",[]
very_bad_signal,Very bad signal / action needed,2026-06-11,2026-06-11,act_9876543210,23861234567890345,Dehalt Campaign 1 | Retargeting | Leads,OUTCOME_LEADS,adset_bad_2,Website Visitors 14D,ad_bad_2,Static Offer - Limited Slots,1153.20,41580,16335,394,0.9485,2.9239,27.7345,2.5455,7.0,0,"[{""action_type"": ""lead"", ""value"": ""7""}]","[{""action_type"": ""lead"", ""value"": ""164.74""}]",[]
very_bad_signal,Very bad signal / action needed,2026-06-11,2026-06-11,act_9876543210,23861234567890345,Dehalt Campaign 1 | Retargeting | Leads,OUTCOME_LEADS,adset_bad_3,Lookalike Leads 2%,ad_bad_3,Founder Video - Direct Pitch,520.80,22680,10395,313,1.3810,1.6628,22.9630,2.1818,6.0,0,"[{""action_type"": ""lead"", ""value"": ""6""}]","[{""action_type"": ""lead"", ""value"": ""86.8""}]",[]
